Time (s),Ax (m/s²),Ay (m/s²),Az (m/s²),ωx (rad/s),ωy (rad/s),ωz (rad/s),Ax (m/s²),Ay (m/s²),Az (m/s²),ωx (rad/s),ωy (rad/s),ωz (rad/s)
6.300000190734863,-0.02962081879377365,-9.773553848266602,-0.09184326231479645,-0.36185967922210693,-1.1548328399658203,-0.06157669052481651,0.16466057300567627,9.947919845581055,0.2561233341693878,-0.11177360266447067,-0.4329875409603119,-1.0155532360076904
6.309999942779541,0.009420341812074184,-9.700563430786133,-0.12880519032478333,-0.34046804904937744,-1.158705472946167,-0.05761197581887245,0.044714055955410004,9.894247055053711,0.23522737622261047,-0.14672468602657318,-0.4168021082878113,-1.0490705966949463
6.320000171661377,0.04216241464018822,-9.673439025878906,-0.17966610193252563,-0.32040533423423767,-1.1633771657943726,-0.06211867183446884,-0.06851604580879211,9.848934173583984,0.2269226312637329,-0.19038227200508118,-0.4197980761528015,-1.0624338388442993
6.329999923706055,0.05212223157286644,-9.651708602905273,-0.2378590852022171,-0.2971665859222412,-1.1641473770141602,-0.0780973881483078,-0.1897885799407959,9.798778533935547,0.23471827805042267,-0.2297016680240631,-0.4193881154060364,-1.0507324934005737
6.340000152587891,0.05701419338583946,-9.655263900756836,-0.284985214471817,-0.2714865505695343,-1.160629153251648,-0.09910567849874496,-0.31583166122436523,9.748281478881836,0.255023330450058,-0.25772103667259216,-0.41821959614753723,-1.0144588947296143
6.349999904632568,0.053683262318372726,-9.665189743041992,-0.32110217213630676,-0.2501528561115265,-1.1607465744018555,-0.11363909393548965,-0.4306102991104126,9.711909294128418,0.29442885518074036,-0.2852279245853424,-0.4170511066913605,-0.9663623571395874
6.360000133514404,0.048791300505399704,-9.670827865600586,-0.3812335133552551,-0.23452618718147278,-1.1680054664611816,-0.11897614598274231,-0.5149311423301697,9.693914413452148,0.33854809403419495,-0.3073827028274536,-0.4209306836128235,-0.8950825929641724
6.369999885559082,0.030865827575325966,-9.711051940917969,-0.4278539717197418,-0.219608873128891,-1.1711387634277344,-0.11724596470594406,-0.5917907953262329,9.676447868347168,0.3696170747280121,-0.3233330547809601,-0.4299046993255615,-0.8062295317649841
6.380000114440918,0.02468106709420681,-9.728565216064453,-0.4812653660774231,-0.20092196762561798,-1.1643829345703125,-0.1070437878370285,-0.6363058686256409,9.64504337310791,0.4035951793193817,-0.32938694953918457,-0.43969690799713135,-0.7076780200004578
6.389999866485596,0.033521778881549835,-9.789895057678223,-0.5447810888290405,-0.18223506212234497,-1.1635422706604004,-0.08656590431928635,-0.6732075810432434,9.601995468139648,0.4228774607181549,-0.32589417695999146,-0.449710875749588,-0.6020221710205078
