Time (s),Ax (m/s²),Ay (m/s²),Az (m/s²),ωx (rad/s),ωy (rad/s),ωz (rad/s),Ax (m/s²),Ay (m/s²),Az (m/s²),ωx (rad/s),ωy (rad/s),ωz (rad/s)
11.029999732971191,0.3729962706565857,9.775754928588867,0.1646527796983719,-0.31159666180610657,-0.206056147813797,0.07752355933189392,-0.16044531762599945,9.751991271972656,-0.7859270572662354,-0.39753979444503784,-0.4226599633693695,-0.037330228835344315
11.039999961853027,0.3590579628944397,9.791424751281738,0.17064405977725983,-0.314401775598526,-0.19437366724014282,0.08184673637151718,-0.15565225481987,9.742280960083008,-0.8483676910400391,-0.43209323287010193,-0.42163190245628357,-0.02264835685491562
11.050000190734863,0.3727223575115204,9.821699142456055,0.1815214902162552,-0.31265273690223694,-0.18350428342819214,0.08488018065690994,-0.16520173847675323,9.776233673095703,-0.920380175113678,-0.46118393540382385,-0.41565513610839844,-0.008306280709803104
11.0600004196167,0.3689284026622772,9.858420372009277,0.21148300170898438,-0.3051265478134155,-0.17982730269432068,0.09399650990962982,-0.1795678734779358,9.752230644226074,-0.9876499176025391,-0.48249876499176025,-0.3947408199310303,0.008107933215796947
11.069999694824219,0.37726956605911255,9.858420372009277,0.24407434463500977,-0.28760284185409546,-0.17281782627105713,0.09866950660943985,-0.20347562432289124,9.771331787109375,-1.0929789543151855,-0.4930870831012726,-0.38187140226364136,0.025641662999987602
11.079999923706055,0.37534722685813904,9.8554105758667,0.25587785243988037,-0.26191073656082153,-0.17397673428058624,0.10217558592557907,-0.2274671494960785,9.771554946899414,-1.1559122800827026,-0.5016500353813171,-0.375836580991745,0.0438549779355526
11.09000015258789,0.3913676142692566,9.827733993530273,0.25600573420524597,-0.2317766398191452,-0.16849598288536072,0.10124766081571579,-0.23253768682479858,9.737942695617676,-1.2514938116073608,-0.5146563053131104,-0.36385104060173035,0.061936113983392715
11.100000381469727,0.386478066444397,9.788089752197266,0.30193036794662476,-0.20245160162448883,-0.17314894497394562,0.10322767496109009,-0.21846738457679749,9.746942520141602,-1.3192222118377686,-0.5287253260612488,-0.34692278504371643,0.07665269821882248
11.109999656677246,0.38439592719078064,9.777955055236816,0.28975340723991394,-0.16036665439605713,-0.1750274896621704,0.10358282178640366,-0.23229685425758362,9.7471342086792,-1.4523835182189941,-0.5410780310630798,-0.330399751663208,0.08783649653196335
11.119999885559082,0.3962749242782593,9.783616065979004,0.3020685315132141,-0.1178371012210846,-0.17246802151203156,0.09985511004924774,-0.2748376429080963,9.756658554077148,-1.4647825956344604,-0.5541090369224548,-0.31252023577690125,0.09656764566898346
11.130000114440918,0.4111769199371338,9.77487564086914,0.29079458117485046,-0.07054109126329422,-0.17594872415065765,0.09518212080001831,-0.27592137455940247,9.752153396606445,-1.5212123394012451,-0.5642454028129578,-0.2938135862350464,0.10124464333057404
11.140000343322754,0.415011465549469,9.769914627075195,0.29079458117485046,-0.022289123386144638,-0.17364561557769775,0.08725138753652573,-0.34122857451438904,9.761488914489746,-1.5835167169570923,-0.5645765066146851,-0.27980664372444153,0.1035824790596962
11.149999618530273,0.4227186143398285,9.762128829956055,0.2921990156173706,0.025609033182263374,-0.17309419810771942,0.07488264888525009,-0.36653944849967957,9.757064819335938,-1.5947365760803223,-0.5643802285194397,-0.25966203212738037,0.10673941671848297
11.15999984741211,0.4189651906490326,9.747246742248535,0.30776816606521606,0.07350718975067139,-0.17821846902370453,0.06016673147678375,-0.3580605983734131,9.384906768798828,-1.5811270475387573,-0.5601344704627991,-0.23926644027233124,0.11365877836942673
11.170000076293945,0.4092976748943329,9.55479907989502,0.3308788537979126,0.12204354256391525,-0.18331336975097656,0.04880869388580322,-0.32071080803871155,9.530699729919434,-0.8212899565696716,-0.5474426746368408,-0.2211051881313324,0.12315162271261215
11.180000305175781,0.4141770899295807,9.518057823181152,0.3735085129737854,0.2110920548439026,-0.19319206476211548,0.03425700217485428,-0.44837242364883423,9.808682441711426,-1.594118356704712,-0.46143558621406555,-0.19889579713344574,0.11877236515283585
